Ward,Precinct,RAHM EMANUEL,WILLIE WILSON,ROBERT W. FIORETTI,"JESUS ""CHUY"" GARCIA",WILLIAM WALLS III,Votes Cast
3.0,5.0,87.0,64.0,9.0,30.0,3.0,193.0
3.0,6.0,147.0,6.0,38.0,62.0,4.0,257.0
3.0,7.0,114.0,67.0,23.0,48.0,17.0,269.0
3.0,8.0,81.0,36.0,12.0,49.0,12.0,190.0
3.0,9.0,126.0,63.0,13.0,75.0,13.0,290.0
3.0,10.0,68.0,36.0,11.0,29.0,7.0,151.0
3.0,11.0,93.0,57.0,18.0,65.0,16.0,249.0
3.0,12.0,152.0,82.0,16.0,63.0,14.0,327.0
3.0,13.0,174.0,14.0,39.0,69.0,6.0,302.0
3.0,14.0,114.0,14.0,21.0,40.0,6.0,195.0
3.0,15.0,83.0,63.0,16.0,45.0,23.0,230.0
3.0,16.0,101.0,66.0,8.0,48.0,16.0,239.0
3.0,17.0,121.0,39.0,25.0,62.0,13.0,260.0
3.0,18.0,154.0,41.0,42.0,76.0,18.0,331.0
3.0,19.0,122.0,6.0,48.0,40.0,0.0,216.0
3.0,20.0,108.0,52.0,14.0,61.0,20.0,255.0
3.0,21.0,163.0,26.0,45.0,61.0,8.0,303.0
3.0,22.0,99.0,7.0,40.0,73.0,3.0,222.0
3.0,23.0,128.0,47.0,11.0,35.0,23.0,244.0
3.0,24.0,114.0,68.0,6.0,48.0,9.0,245.0
3.0,25.0,196.0,8.0,26.0,53.0,0.0,283.0
3.0,26.0,215.0,17.0,42.0,74.0,7.0,355.0
3.0,27.0,109.0,5.0,49.0,54.0,3.0,220.0
3.0,28.0,114.0,77.0,8.0,23.0,17.0,239.0
3.0,29.0,122.0,77.0,11.0,50.0,11.0,271.0
3.0,30.0,111.0,59.0,21.0,80.0,19.0,290.0
3.0,31.0,142.0,67.0,12.0,64.0,13.0,298.0
3.0,32.0,148.0,17.0,32.0,57.0,4.0,258.0
3.0,33.0,95.0,10.0,32.0,42.0,2.0,181.0
3.0,34.0,151.0,27.0,46.0,50.0,7.0,281.0
3.0,35.0,47.0,18.0,19.0,26.0,10.0,120.0
3.0,36.0,50.0,48.0,10.0,18.0,13.0,139.0
3.0,37.0,89.0,51.0,6.0,52.0,21.0,219.0
3.0,38.0,178.0,56.0,16.0,47.0,14.0,311.0
3.0,39.0,139.0,4.0,27.0,36.0,1.0,207.0
3.0,40.0,148.0,35.0,28.0,70.0,19.0,300.0
3.0,41.0,142.0,49.0,25.0,42.0,19.0,277.0
4.0,1.0,99.0,26.0,27.0,177.0,11.0,340.0
4.0,2.0,166.0,14.0,32.0,60.0,4.0,276.0
4.0,3.0,104.0,65.0,4.0,68.0,15.0,256.0
4.0,4.0,143.0,82.0,16.0,87.0,22.0,350.0
4.0,5.0,128.0,50.0,16.0,111.0,15.0,320.0
4.0,6.0,212.0,62.0,39.0,79.0,11.0,403.0
4.0,7.0,157.0,58.0,22.0,107.0,21.0,365.0
4.0,8.0,130.0,83.0,14.0,110.0,23.0,360.0
4.0,9.0,190.0,66.0,23.0,153.0,29.0,461.0
4.0,10.0,149.0,52.0,22.0,98.0,17.0,338.0
